,address,postal_code,lat,long
239,0124 Richards & Cordova,V6B1E8,49.28469,-123.1109013
240,0211 14th & Alder - TEMP REMOVED,V6H4C3,49.258819,-123.1313169
241,0985 Quebec Yard - To Service,H2Z1X4,45.50605789999999,-73.56339220000001
242,0165 Columbia & 4th - TEMP REMOVED,V5Y3E1,49.26712,-123.10937
243,0986 Quebec Yard - Serviced,J0K1B0,45.9714353,-73.4832199
244,0093 Chilco & Robson - TEMP REMOVED,V6G1E8,49.2932569,-123.138563
245,0052 Cambie & Water - TEMP REMOVED,V6B2M8,49.2843139,-123.1087911
246,0238 Thornton & 1st - TEMP REMOVED,V5T1A7,49.267553,-123.094616
247,0066 Anderson & 2nd - TEMP DEACTIVATED,V6H,49.269361,-123.13782
248,0225 McLean & Pender - TEMP REMOVED,V5L1V8,49.280205,-123.074174
249,0142 Beach & Cardero,V6G,49.2831364,-123.1418336
250,0084 Beach & Broughton,V6G2X3,49.2815863,-123.1394833
251,0305 Georgia & Homer,V6B0K8,49.2805891,-123.1152145
252,0165 Columbia & 5th,V5Y1H7,49.2665691,-123.1094088
253,0189 Granville Island,,49.27115670000001,-123.1339931
