,lat,long,station,postal_code,parks,stops,bike_ways,population
1614,49.285871,-123.12105,0002 Burrard Station,V6C,0.6666666666666666,0.6559139784946236,0.6559139784946236,0.045431861120022815
1620,49.2919089,-123.140713,0092 Chilco & Barclay,V6G,0.3333333333333333,0.11827956989247312,0.11827956989247312,0.48467187110113
1639,49.263837,-123.105173,0107 8th & Ontario,V5Y,0.3333333333333333,0.22580645161290322,0.22580645161290322,0.3064912843546145
1643,49.28604199999999,-123.113176,0021 Cordova & Granville,V6C,0.5,0.7204301075268817,0.7204301075268817,0.045431861120022815
1682,49.265089,-123.119425,0081 7th & Heather,V5Z,0.3333333333333333,0.3225806451612903,0.3225806451612903,0.4017752112073575
1685,49.2776,-123.0955575,0212 Union & Dunlevy,V6A,0.3333333333333333,0.3978494623655914,0.3978494623655914,0.33354721420168965
1689,49.277213,-123.1296251,0196 Drake & Hornby,V6Z,0.3333333333333333,0.3870967741935484,0.3870967741935484,0.31773785334901794
2066,49.28275899999999,-123.106955,0030 Abbott & Cordova,V6B,0.8333333333333334,0.6451612903225806,0.6451612903225806,0.5234912487078031
2090,49.27369100000001,-123.102232,0193 Science World,V6A,0.3333333333333333,0.21505376344086022,0.21505376344086022,0.33354721420168965
2101,49.267553,-123.094616,0238 Thornton & 1st,V5T,0.5,0.1935483870967742,0.1935483870967742,0.4260863365771932
2108,49.26667,-123.1124141,0171 5th & Yukon,V5Y,0.3333333333333333,0.26881720430107525,0.26881720430107525,0.3064912843546145
2110,49.264215,-123.117772,0008 8th & Ash,V5Z,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4017752112073575
2118,49.2801491,-123.127601,0039 Helmcken & Burrard,V6Z,0.3333333333333333,0.3870967741935484,0.3870967741935484,0.31773785334901794
2151,49.2861213,-123.1234223,0123 Georgia & Thurlow,V6E,0.8333333333333334,0.5698924731182796,0.5698924731182796,0.4794852600434891
2217,49.2761121,-123.1144942,0064 Expo & Smithe,V6B,0.6666666666666666,0.21505376344086022,0.21505376344086022,0.5234912487078031
2254,49.25876299999999,-123.115392,0072 14th & Cambie,V5Z,0.16666666666666666,0.23655913978494625,0.23655913978494625,0.4017752112073575
2257,49.275717,-123.142564,0077 Vanier Park,V6J,0.3333333333333333,0.043010752688172046,0.043010752688172046,0.3953766085623641
2260,49.289581,-123.132184,0041 Cardero & Robson,V6G,0.5,0.26881720430107525,0.26881720430107525,0.48467187110113
2284,49.273471,-123.118016,0017 Marinaside & Davie,V6Z,1.0,0.21505376344086022,0.21505376344086022,0.31773785334901794
2304,49.282214,-123.114101,0012 Dunsmuir & Richards,V6B,0.5,1.0,1.0,0.5234912487078031
2348,49.28222400000001,-123.132778,0187 Bute & Davie,V6E,0.16666666666666666,0.27956989247311825,0.27956989247311825,0.4794852600434891
2518,49.28038489999999,-123.1354738,0088 Harwood & Bute,V6E,0.3333333333333333,0.23655913978494625,0.23655913978494625,0.4794852600434891
2666,49.266724,-123.104824,0073 Ontario & 5th,V5Y,0.3333333333333333,0.3118279569892473,0.3118279569892473,0.3064912843546145
2674,49.262255,-123.126217,0112 10th & Oak,V6H,0.3333333333333333,0.26881720430107525,0.26881720430107525,0.3180230278401597
2680,49.263507,-123.148097,0068 Cypress & Broadway,V6J,0.3333333333333333,0.16129032258064516,0.16129032258064516,0.3953766085623641
2682,49.282266,-123.1021649,0167 Cordova & Columbia,V6A,0.8333333333333334,0.46236559139784944,0.46236559139784944,0.33354721420168965
2689,49.28117,-123.104419,0098 Carrall & Hastings,V6B,1.0,0.5053763440860215,0.5053763440860215,0.5234912487078031
2704,49.263242,-123.070521,0242 8th & Commercial,V5N,0.5,0.3010752688172043,0.3010752688172043,0.6245321356004705
2709,49.263649,-123.152421,0208 Arbutus Greenway & Broadway,V6J,0.5,0.1827956989247312,0.1827956989247312,0.3953766085623641
2723,49.27714729999999,-123.1225728,0138 Richards & Helmcken,V6B,0.6666666666666666,0.4946236559139785,0.4946236559139785,0.5234912487078031
2749,49.275677,-123.1179745,0052 Cambie & Water,V6B,1.0,0.3010752688172043,0.3010752688172043,0.5234912487078031
2769,49.285082,-123.1341942,0048 Comox & Broughton,V6E,0.5,0.21505376344086022,0.21505376344086022,0.4794852600434891
2774,49.273355,-123.154493,0154 Kitsilano Beach Park,V6J,0.3333333333333333,0.10752688172043011,0.10752688172043011,0.3953766085623641
2842,49.262206,-123.1090909,0172 10th & Columbia,V5Y,0.3333333333333333,0.24731182795698925,0.24731182795698925,0.3064912843546145
2843,49.271721,-123.1042071,0011 Ontario & Seawall,V5Y,0.6666666666666666,0.23655913978494625,0.23655913978494625,0.3064912843546145
2857,49.259183,-123.120126,0106 Heather & 14th,V5Z,0.16666666666666666,0.3763440860215054,0.3763440860215054,0.4017752112073575
2859,49.26248700000001,-123.114397,0001 10th & Cambie,V5Y,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3064912843546145
2867,49.270721,-123.146175,0108 1st & Chestnut,V6J,0.16666666666666666,0.1935483870967742,0.1935483870967742,0.3953766085623641
2888,49.287782,-123.12395,0190 Melville & Bute,V6E,0.8333333333333334,0.41935483870967744,0.41935483870967744,0.4794852600434891
2916,49.290419,-123.12581,0035 Coal Harbour Community Centre,V6C,1.0,0.25806451612903225,0.25806451612903225,0.045431861120022815
2943,49.288444,-123.139203,0032 Comox & Denman,V6G,0.5,0.1935483870967742,0.1935483870967742,0.48467187110113
2982,49.280852,-123.084746,0227 Campbell & Hastings,V6A,0.3333333333333333,0.25806451612903225,0.25806451612903225,0.33354721420168965
2983,49.21414739999999,-122.9388668,0179 11th & Kingsway,V3N,0.0,0.16129032258064516,0.16129032258064516,0.7013331907460878
2992,49.2774829,-123.114279,0026 Beatty & Robson,V6B,0.5,0.40860215053763443,0.40860215053763443,0.5234912487078031
3007,49.27746900000001,-123.081315,0221 Glen & Union,V6A,0.3333333333333333,0.21505376344086022,0.21505376344086022,0.33354721420168965
3025,49.269361,-123.13782,0066 Anderson & 2nd,V6H,0.5,0.20430107526881722,0.20430107526881722,0.3180230278401597
3074,49.28602,-123.116624,0024 Hornby & Pender,V6C,0.8333333333333334,0.8172043010752689,0.8172043010752689,0.045431861120022815
3346,49.28526,-123.141809,0060 Bidwell & Burnaby,V6G,0.6666666666666666,0.1935483870967742,0.1935483870967742,0.48467187110113
3403,49.279821,-123.10802,0053 Keefer & Abbott,V6B,0.8333333333333334,0.4946236559139785,0.4946236559139785,0.5234912487078031
3453,49.268339,-123.157443,0159 Vine & 4th,V6K,0.16666666666666666,0.27956989247311825,0.27956989247311825,0.470876555092147
3468,49.266675,-123.115634,0006 Olympic Village Station,V5Z,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4017752112073575
3498,49.277665,-123.073653,0222 Adanac & McLean,V5L,0.6666666666666666,0.24731182795698925,0.24731182795698925,0.35138844330374647
3503,49.287214,-123.11287,0014 Canada Place,V6C,0.16666666666666666,0.5483870967741935,0.5483870967741935,0.045431861120022815
3522,49.289531,-123.1190718,0201 Shaw Tower,V6C,0.6666666666666666,0.3010752688172043,0.3010752688172043,0.045431861120022815
3637,49.28329,-123.137034,0087 Broughton & Burnaby,V6G,0.8333333333333334,0.23655913978494625,0.23655913978494625,0.48467187110113
3689,49.278529,-123.100017,0199 Georgia & Main,V6A,0.8333333333333334,0.45161290322580644,0.45161290322580644,0.33354721420168965
