,Segment Length,Coordinates
2001,1961.18580915,"[[-123.1508734690402, 49.295871888463545], [-123.15087355005704, 49.295871846080544], [-123.15123995500646, 49.295705830135915], [-123.15133709926317, 49.29567175163252], [-123.15144092729702, 49.29563532914527], [-123.15148156890703, 49.29563889732834], [-123.15160279765863, 49.29564954153802], [-123.15163570497259, 49.29565243078409], [-123.15214805246583, 49.295604002962214], [-123.1521481776971, 49.295604027084224], [-123.15218901842157, 49.29561195291062], [-123.15220671858418, 49.295617557869335], [-123.15243948360074, 49.295691265916815], [-123.15256885760589, 49.29573223273997], [-123.15262660219129, 49.29575860405216], [-123.15272967242272, 49.295805675365365], [-123.15274881866516, 49.29582522262366], [-123.1528146571801, 49.29589243825056], [-123.15291947590349, 49.29604752543345], [-123.15300453823167, 49.296229310218045], [-123.15303306651641, 49.29629029199206], [-123.15308343200543, 49.2963451659055], [-123.15321787355641, 49.29649166996089], [-123.15330095657892, 49.2966364465657], [-123.15340691677339, 49.29682107816389], [-123.15340693613753, 49.296821113219266], [-123.15343455104347, 49.29685520058292], [-123.15370967894322, 49.29719475921329], [-123.15378718168353, 49.29729041583084], [-123.1540350185704, 49.29751582277691], [-123.15417203900745, 49.297593371693075], [-123.15428645770771, 49.29765812263285], [-123.15432543445573, 49.297671026310525], [-123.15448747695163, 49.2977247105683], [-123.1547266645897, 49.29774872515862], [-123.15497454020614, 49.29773346375085], [-123.15529567538297, 49.297680061974916], [-123.1558188413317, 49.29753213763196], [-123.15625376769673, 49.297455466650646], [-123.15654970317317, 49.29743186312556], [-123.1568368659979, 49.29746762708305], [-123.15705336770412, 49.297537121066085], [-123.15715301339768, 49.29759171842341], [-123.15737392196475, 49.297712755248355], [-123.15746338215747, 49.29776176942131], [-123.1574638478615, 49.29776202514865], [-123.15766937364074, 49.297928244340376], [-123.15781656433623, 49.29804728409743], [-123.15787137475226, 49.298091614714245], [-123.1578714161469, 49.29809165603541], [-123.15791587886112, 49.298140566707104], [-123.15795244833808, 49.29819213272561], [-123.15798074344534, 49.29824588597192], [-123.1579949735643, 49.298285891357224], [-123.15800043634745, 49.2983012521099], [-123.15800044610188, 49.298301291675244], [-123.15801138369531, 49.29835771411845], [-123.15801338508957, 49.29841454996322], [-123.15801656822529, 49.298467589135896], [-123.15801936547999, 49.298514365509845], [-123.15803308019078, 49.298613819666905], [-123.15805460152475, 49.2987127117409], [-123.15808382803087, 49.29881070094984], [-123.15808383638421, 49.298810732421515], [-123.15823807271558, 49.2992329949001], [-123.15826117136429, 49.29932856285545], [-123.15826117837115, 49.299328603324014], [-123.15827475346022, 49.299425037957015], [-123.15827870283545, 49.29952181139545], [-123.15827694436294, 49.29955210857827], [-123.15827310649499, 49.2996185808154], [-123.15825776484739, 49.299714887736], [-123.15825775807089, 49.29971491922831], [-123.15823801084572, 49.29978032843304], [-123.15823187620185, 49.29981253318102], [-123.15823238691631, 49.29982168504906], [-123.15823368130174, 49.29984490606091], [-123.15824353636283, 49.2998766391567], [-123.15826110044046, 49.29990692247012], [-123.1582857645293, 49.29993499584188], [-123.15828580317778, 49.29993503806621], [-123.15836057676039, 49.30001578584947], [-123.15838050278606, 49.300037526809795], [-123.1583859695608, 49.300049742829074], [-123.1583881735325, 49.300062333020904], [-123.15838773043902, 49.300066994915824], [-123.15838696661818, 49.30007501514047], [-123.15838258973635, 49.30008742635294], [-123.15837502909893, 49.30009912771342], [-123.15827202937703, 49.3001932339776], [-123.15827199781029, 49.300193255609166], [-123.15825501375583, 49.30023761597052], [-123.15825108833975, 49.30026087741061], [-123.15824733300707, 49.3002831320601], [-123.15824895409028, 49.30032890616555], [-123.1582598730722, 49.30037413142683], [-123.15834245365191, 49.300589408098716], [-123.15847422975784, 49.300829614775175], [-123.15849042161777, 49.300856481773394], [-123.15849045060982, 49.300856515015674], [-123.15851239195013, 49.300881628166714], [-123.15853956796077, 49.300904440368924], [-123.15857150386762, 49.30092445124017], [-123.15860739937702, 49.30094130926503], [-123.15865354609356, 49.300968317725555], [-123.15866185157178, 49.30097480711809], [-123.15869333317045, 49.30099937822089], [-123.15872574506712, 49.301033932654065], [-123.15872576715887, 49.30103395870963], [-123.15875027567576, 49.30107115147404], [-123.15876638741673, 49.30111025824344], [-123.1587736666911, 49.30115053572096], [-123.1587734159174, 49.30117994390958], [-123.15877333358785, 49.301188997641205], [-123.15877333230482, 49.30118902642747], [-123.15876382434791, 49.30122699452546], [-123.15874544248642, 49.301263529291866], [-123.15874541373375, 49.30126357070902], [-123.15871855827986, 49.30129783324188], [-123.15868384250591, 49.30132890698693], [-123.15864218997687, 49.30135612322928], [-123.1582576366212, 49.30144631414255], [-123.15766702126378, 49.30172366561592], [-123.1575190166534, 49.30176343890714], [-123.15736049550276, 49.30177759375239], [-123.15723216857754, 49.3017987235193], [-123.15711854561435, 49.301843125191894], [-123.15690412708457, 49.3019713014411], [-123.15674299955421, 49.30212935256926], [-123.15650647972146, 49.302692835052014], [-123.15634048445473, 49.3033569456601], [-123.1563098092826, 49.304273676161614], [-123.1563397362378, 49.30437570988621], [-123.15631623978582, 49.30444184249199], [-123.15625175198028, 49.30449499026093], [-123.15617368146783, 49.304556879840774], [-123.15613898814625, 49.304633729062395], [-123.15613254319696, 49.3048199894291], [-123.15618269261844, 49.30500329577191], [-123.1561700169726, 49.3054792387491], [-123.15633466953587, 49.30571392158995], [-123.15635992484974, 49.30577306376826], [-123.15640240871504, 49.305827864956946], [-123.15638776034687, 49.30589461524549], [-123.15622103886865, 49.30590257476014], [-123.1560744741188, 49.306294522026306], [-123.15591586165242, 49.30703956170721], [-123.1558716498275, 49.30755179024192], [-123.15590675396442, 49.30774779735759], [-123.15602441699855, 49.30790079430682], [-123.15602494351442, 49.30806752929556], [-123.1561082230507, 49.30821607679583], [-123.1560534760106, 49.30833773982414], [-123.15606176592534, 49.30838823363473]]"
2002,49.67926401,"[[-123.10584773294451, 49.22855283718706], [-123.10586524235141, 49.22810613806151], [-123.10586525190043, 49.22810610746886]]"
2003,50.12648356,"[[-123.10554232351507, 49.2359649755662], [-123.10555302000836, 49.235514130182395]]"
2004,15.21591817,"[[-123.10573322519129, 49.2313082446477], [-123.10573900297318, 49.23117142600402]]"
2005,50.11877542,"[[-123.10548954224579, 49.23732032611842], [-123.1055047235803, 49.23686960538222]]"
2006,48.13001691,"[[-123.10483381953111, 49.252299842866286], [-123.10483382495148, 49.25229980688044], [-123.1048528543038, 49.25186711754075], [-123.10485285560367, 49.25186708245819]]"
2007,50.3126447,"[[-123.17854118590515, 49.254648332833774], [-123.1785411446789, 49.254648332897474], [-123.1778497957578, 49.2546457399432]]"
2008,96.87949481,"[[-123.1831555415204, 49.256475402313406], [-123.18182419324877, 49.25646969103674]]"
2009,32.16157197,"[[-123.1151757092748, 49.237186254511016], [-123.11561496434803, 49.23721733689377]]"
2010,61.50822381,"[[-123.08191968983071, 49.23644784609121], [-123.08191963762837, 49.23644784522872], [-123.0818367106023, 49.23644678499478], [-123.08176643157576, 49.2364458848606], [-123.08176637525528, 49.23644588579998], [-123.08136345092313, 49.23644050417537], [-123.0810749114354, 49.236436934426266]]"
