,Coordinates
4824,"[49.33161, -123.157323]"
4825,"[49.329372, -123.160315]"
4826,"[49.281099, -123.000747]"
4827,"[49.280693, -123.014292]"
4828,"[49.278056, -123.014309]"
4829,"[49.276366, -123.014343]"
4830,"[49.273627, -123.014337]"
4831,"[49.271856, -123.014355]"
4832,"[49.269886, -123.014354]"
4833,"[49.26778, -123.014361]"
4834,"[49.259667, -123.013117]"
4835,"[49.256619, -123.012025]"
4836,"[49.254132, -123.010836]"
4837,"[49.252589, -123.010799]"
4838,"[49.24935, -123.011148]"
4839,"[49.248893, -123.015529]"
4840,"[49.24677, -123.019896]"
4841,"[49.244603, -123.019856]"
4842,"[49.242913, -123.019292]"
4843,"[49.242609, -123.013598]"
4844,"[49.240456, -123.013563]"
4845,"[49.238078, -123.013572]"
4846,"[49.236623, -123.013567]"
4847,"[49.235217, -123.013571]"
4848,"[49.234071, -123.013572]"
4849,"[49.232183, -123.012741]"
4850,"[49.229508, -123.01191]"
4851,"[49.229938, -123.007414]"
4852,"[49.218855, -122.957436]"
4853,"[49.222373, -122.957497]"
4854,"[49.224605, -122.957702]"
4855,"[49.225516, -122.958823]"
4856,"[49.227118, -122.961356]"
4857,"[49.227412, -122.964678]"
4858,"[49.230747, -122.962885]"
4859,"[49.232779, -122.959214]"
4860,"[49.234122, -122.956741]"
4861,"[49.249667, -122.980822]"
4862,"[49.251963, -122.98165]"
4863,"[49.253402, -122.981865]"
4864,"[49.255423, -122.982097]"
4865,"[49.256982, -122.982622]"
4866,"[49.259866, -122.983585]"
4867,"[49.262985, -122.986024]"
4868,"[49.266541, -122.981092]"
4869,"[49.268316, -122.981077]"
4870,"[49.270142, -122.981069]"
4871,"[49.271943, -122.981061]"
4872,"[49.276101, -122.980893]"
4873,"[49.277578, -122.980878]"
4874,"[49.279421, -122.980857]"
4875,"[49.280431, -122.981804]"
4876,"[49.280429, -122.984501]"
4877,"[49.280447, -122.9884]"
4878,"[49.281077, -122.995896]"
4879,"[49.244974, -122.974659]"
4880,"[49.327102, -123.138897]"
4881,"[49.32872, -123.15987]"
4882,"[49.341882, -123.157301]"
4883,"[49.32689, -123.14362]"
4884,"[49.326988, -123.147479]"
4885,"[49.327721, -123.151989]"
4886,"[49.328058, -123.154732]"
4887,"[49.328461, -123.157136]"
4888,"[49.330913, -123.160111]"
4889,"[49.331479, -123.157226]"
4890,"[49.331426, -123.153752]"
4891,"[49.331398, -123.151038]"
4892,"[49.331353, -123.148297]"
4893,"[49.33168, -123.145817]"
4894,"[49.332674, -123.14581]"
4895,"[49.334333, -123.145795]"
4896,"[49.338188, -123.146257]"
4897,"[49.338227, -123.151642]"
4898,"[49.33818, -123.15407]"
4899,"[49.338227, -123.156678]"
4900,"[49.339239, -123.156809]"
4901,"[49.34017, -123.15688]"
4902,"[49.341875, -123.159459]"
4903,"[49.341907, -123.163435]"
4904,"[49.34184, -123.16573]"
4905,"[49.341901, -123.168635]"
4906,"[49.341909, -123.171034]"
4907,"[49.342219, -123.173683]"
4908,"[49.342226, -123.174348]"
4909,"[49.342292, -123.17903]"
4910,"[49.342343, -123.182572]"
4911,"[49.34238, -123.185164]"
4912,"[49.343781, -123.188567]"
4913,"[49.343004, -123.189253]"
4914,"[49.341, -123.18874]"
4915,"[49.339568, -123.18886]"
4916,"[49.33827, -123.18883]"
4917,"[49.33671, -123.188886]"
4918,"[49.33556, -123.185434]"
4919,"[49.295939, -122.742779]"
4920,"[49.279702, -122.801564]"
4921,"[49.282652, -122.801118]"
4922,"[49.282637, -122.795761]"
4923,"[49.264688, -122.981032]"
4924,"[49.264142, -123.014451]"
4925,"[49.24847, -123.019892]"
4926,"[49.292853, -122.755405]"
4927,"[49.293294, -122.749781]"
4928,"[49.293931, -122.746564]"
4929,"[49.294615, -122.743644]"
4930,"[49.334506, -123.156357]"
4931,"[49.338233, -123.17396]"
4932,"[49.338154, -123.167739]"
4933,"[49.337912, -123.166698]"
4934,"[49.334548, -123.166107]"
4935,"[49.334525, -123.162505]"
4936,"[49.334491, -123.158293]"
4937,"[49.334493, -123.153657]"
4938,"[49.334487, -123.150858]"
4939,"[49.328901, -123.164655]"
4940,"[49.329541, -123.166708]"
4941,"[49.330055, -123.168395]"
4942,"[49.3308, -123.17085]"
4943,"[49.333278, -123.175257]"
4944,"[49.33419, -123.17904]"
4945,"[49.336638, -123.189224]"
4946,"[49.337938, -123.19446]"
4947,"[49.33971, -123.200042]"
4948,"[49.340383, -123.203155]"
4949,"[49.34091, -123.20586]"
4950,"[49.341869, -123.210966]"
4951,"[49.341622, -123.213397]"
4952,"[49.33886, -123.21731]"
4953,"[49.33951, -123.2218]"
4954,"[49.34066, -123.22491]"
4955,"[49.34145, -123.22668]"
4956,"[49.341946, -123.230371]"
4957,"[49.34086, -123.23569]"
4958,"[49.34111, -123.24772]"
4959,"[49.34084, -123.253366]"
4960,"[49.340789, -123.25916]"
4961,"[49.340791, -123.263244]"
4962,"[49.342178, -123.265211]"
4963,"[49.34587, -123.26588]"
4964,"[49.34916, -123.266659]"
4965,"[49.35107, -123.26619]"
4966,"[49.353212, -123.260546]"
4967,"[49.356897, -123.264759]"
4968,"[49.358412, -123.2667]"
4969,"[49.357486, -123.272671]"
4970,"[49.35837, -123.2786]"
4971,"[49.361021, -123.277692]"
4972,"[49.36365, -123.277143]"
4973,"[49.36766, -123.27667]"
4974,"[49.369052, -123.276109]"
4975,"[49.282196, -123.117464]"
4976,"[49.284954, -123.121726]"
4977,"[49.287499, -123.125666]"
4978,"[49.326544, -123.130004]"
4979,"[49.32868, -123.162646]"
4980,"[49.298139, -122.75605]"
4981,"[49.296332, -122.756079]"
4982,"[49.29454, -122.756051]"
4983,"[49.282797, -122.796453]"
4984,"[49.282373, -122.801827]"
4985,"[49.279616, -122.801818]"
4986,"[49.298122, -122.746487]"
4987,"[49.298544, -122.750091]"
4988,"[49.363028, -123.277509]"
4989,"[49.361175, -123.277897]"
4990,"[49.358726, -123.278743]"
4991,"[49.35715, -123.27306]"
4992,"[49.35853, -123.266946]"
4993,"[49.356476, -123.264027]"
4994,"[49.35261, -123.260744]"
4995,"[49.350873, -123.266375]"
4996,"[49.349229, -123.266848]"
4997,"[49.34602, -123.26606]"
4998,"[49.341932, -123.265371]"
4999,"[49.34064, -123.26306]"
5000,"[49.340727, -123.258861]"
5001,"[49.340719, -123.25309]"
5002,"[49.340937, -123.247274]"
5003,"[49.34107, -123.23506]"
5004,"[49.341731, -123.230482]"
5005,"[49.341245, -123.226556]"
5006,"[49.340322, -123.224744]"
5007,"[49.339582, -123.222593]"
5008,"[49.33923, -123.21628]"
5009,"[49.34176, -123.21298]"
5010,"[49.341606, -123.210425]"
5011,"[49.340963, -123.206985]"
5012,"[49.340189, -123.202962]"
5013,"[49.33951, -123.2]"
5014,"[49.337797, -123.194572]"
5015,"[49.336467, -123.189107]"
5016,"[49.36867, -123.27637]"
5017,"[49.36708, -123.27676]"
5018,"[49.281337, -123.113897]"
5019,"[49.340857, -123.239593]"
5020,"[49.34068, -123.23864]"
5021,"[49.280837, -123.112004]"
5022,"[49.31781, -123.036309]"
5023,"[49.313197, -123.037449]"
5024,"[49.313086, -123.024687]"
5025,"[49.315778, -123.023902]"
5026,"[49.31787, -123.02389]"
5027,"[49.321964, -123.068783]"
5028,"[49.321933, -123.065413]"
5029,"[49.321899, -123.062697]"
5030,"[49.321868, -123.059574]"
5031,"[49.321837, -123.05669]"
5032,"[49.324232, -123.056185]"
5033,"[49.326339, -123.056093]"
5034,"[49.329003, -123.053146]"
5035,"[49.332125, -123.047239]"
5036,"[49.330105, -123.038146]"
5037,"[49.326874, -123.038325]"
5038,"[49.323481, -123.038465]"
5039,"[49.321386, -123.038566]"
5040,"[49.33458, -123.1489]"
5041,"[49.33458, -123.15175]"
5042,"[49.33459, -123.154561]"
5043,"[49.3346, -123.16051]"
5044,"[49.334618, -123.163501]"
5045,"[49.334657, -123.166502]"
5046,"[49.336681, -123.166585]"
5047,"[49.338281, -123.166763]"
5048,"[49.338316, -123.171156]"
5049,"[49.338384, -123.17516]"
5050,"[49.338442, -123.179475]"
5051,"[49.338122, -123.18239]"
5052,"[49.336764, -123.182475]"
5053,"[49.350447, -123.25185]"
5054,"[49.334624, -123.157371]"
5055,"[49.35073, -123.24672]"
5056,"[49.349021, -123.245829]"
5057,"[49.347695, -123.246804]"
5058,"[49.346473, -123.249222]"
5059,"[49.345011, -123.247717]"
5060,"[49.344908, -123.24515]"
5061,"[49.343785, -123.241844]"
5062,"[49.34129, -123.24167]"
5063,"[49.321996, -123.071638]"
5064,"[49.319389, -123.018631]"
5065,"[49.277834, -122.846836]"
5066,"[49.335826, -123.040724]"
5067,"[49.335058, -123.04216]"
5068,"[49.333907, -123.044317]"
5069,"[49.331956, -123.048002]"
5070,"[49.330747, -123.050277]"
5071,"[49.328614, -123.054317]"
5072,"[49.325776, -123.056353]"
5073,"[49.323723, -123.056405]"
5074,"[49.321967, -123.057141]"
5075,"[49.321996, -123.060368]"
5076,"[49.322027, -123.063435]"
5077,"[49.322067, -123.066511]"
5078,"[49.322121, -123.069606]"
5079,"[49.317204, -123.024083]"
5080,"[49.31572, -123.024145]"
5081,"[49.312986, -123.025195]"
5082,"[49.313331, -123.037246]"
5083,"[49.317811, -123.036122]"
5084,"[49.322019, -123.038336]"
5085,"[49.325383, -123.038204]"
5086,"[49.327475, -123.038108]"
5087,"[49.330731, -123.037916]"
5088,"[49.332732, -123.037815]"
5089,"[49.336898, -123.038733]"
5090,"[49.292794, -122.800732]"
5091,"[49.289646, -122.801575]"
5092,"[49.287237, -122.801666]"
5093,"[49.284778, -122.801761]"
5094,"[49.31619, -122.795546]"
5095,"[49.313678, -122.799062]"
5096,"[49.30846, -122.802059]"
5097,"[49.305415, -122.806399]"
5098,"[49.303746, -122.806914]"
5099,"[49.300959, -122.807176]"
5100,"[49.298478, -122.80902]"
5101,"[49.297209, -122.809435]"
5102,"[49.296589, -122.805272]"
5103,"[49.296944, -122.803651]"
5104,"[49.29654, -122.802092]"
5105,"[49.32067, -122.79293]"
5106,"[49.298023, -122.801139]"
5107,"[49.299046, -122.800661]"
5108,"[49.301023, -122.793114]"
5109,"[49.303713, -122.790314]"
5110,"[49.306313, -122.788863]"
5111,"[49.307821, -122.78704]"
5112,"[49.311486, -122.787477]"
5113,"[49.314113, -122.788227]"
5114,"[49.31736, -122.79085]"
5115,"[49.319498, -122.791705]"
5116,"[49.282981, -122.801486]"
5117,"[49.285675, -122.80146]"
5118,"[49.287812, -122.801386]"
5119,"[49.290331, -122.801188]"
5120,"[49.293425, -122.800464]"
5121,"[49.296339, -122.801809]"
5122,"[49.349419, -123.163179]"
5123,"[49.332349, -123.12048]"
5124,"[49.334773, -123.167977]"
5125,"[49.340168, -123.16795]"
5126,"[49.344317, -123.172086]"
5127,"[49.349093, -123.177404]"
5128,"[49.326832, -123.138645]"
5129,"[49.344757, -123.167619]"
5130,"[49.339827, -123.168067]"
5131,"[49.334345, -123.168108]"
5132,"[49.280241, -122.975131]"
5133,"[49.280264, -122.963874]"
5134,"[49.280692, -122.95813]"
5135,"[49.283746, -122.955519]"
5136,"[49.287081, -122.952613]"
5137,"[49.289962, -122.940212]"
5138,"[49.288791, -122.925354]"
5139,"[49.287702, -122.914774]"
5140,"[49.288534, -122.896201]"
5141,"[49.290672, -122.879956]"
5142,"[49.284239, -122.867369]"
5143,"[49.278028, -122.867069]"
5144,"[49.276593, -122.863686]"
5145,"[49.276629, -122.861233]"
5146,"[49.276656, -122.85805]"
5147,"[49.276622, -122.854097]"
5148,"[49.276572, -122.850519]"
5149,"[49.28425, -122.827325]"
5150,"[49.28375, -122.822697]"
5151,"[49.284283, -122.818159]"
5152,"[49.283443, -122.812309]"
5153,"[49.284404, -122.80902]"
5154,"[49.285093, -122.80093]"
5155,"[49.285106, -122.797418]"
5156,"[49.284896, -122.795057]"
5157,"[49.266511, -122.777567]"
5158,"[49.281562, -123.026025]"
5159,"[49.277804, -122.84618]"
5160,"[49.274998, -122.798874]"
5161,"[49.261233, -122.774173]"
5162,"[49.284015, -123.120673]"
5163,"[49.331579, -123.134742]"
5164,"[49.285306, -123.119982]"
5165,"[49.284166, -123.121683]"
5166,"[49.283087, -123.123336]"
5167,"[49.282068, -123.12488]"
5168,"[49.280981, -123.126516]"
5169,"[49.278579, -123.13018]"
5170,"[49.268549, -123.145798]"
5171,"[49.281364, -123.125521]"
5172,"[49.283593, -123.12214]"
5173,"[49.284688, -123.120503]"
5174,"[49.28577, -123.118874]"
5175,"[49.286121, -123.117245]"
5176,"[49.284791, -123.115231]"
5177,"[49.269179, -123.145428]"
5178,"[49.278885, -123.129252]"
5179,"[49.280758, -123.126431]"
5180,"[49.268682, -123.248984]"
5181,"[49.28481, -123.112535]"
5182,"[49.285898, -123.112474]"
5183,"[49.275845, -122.798426]"
5184,"[49.277834, -122.846551]"
5185,"[49.276792, -122.850785]"
5186,"[49.276808, -122.855015]"
5187,"[49.276788, -122.859242]"
5188,"[49.276752, -122.86226]"
5189,"[49.280181, -122.866483]"
5190,"[49.287092, -122.867643]"
5191,"[49.291174, -122.878787]"
5192,"[49.288747, -122.896523]"
5193,"[49.287912, -122.915261]"
5194,"[49.289329, -122.926468]"
5195,"[49.290367, -122.932258]"
5196,"[49.289352, -122.94211]"
5197,"[49.287022, -122.953126]"
5198,"[49.28288, -122.956499]"
5199,"[49.280433, -122.95953]"
5200,"[49.280427, -122.976062]"
5201,"[49.285091, -122.793797]"
5202,"[49.285315, -122.797263]"
5203,"[49.28524, -122.802332]"
5204,"[49.28502, -122.806025]"
5205,"[49.284287, -122.810431]"
5206,"[49.283488, -122.813271]"
5207,"[49.284769, -122.818899]"
5208,"[49.284341, -122.822202]"
5209,"[49.283994, -122.824236]"
5210,"[49.3477, -123.23549]"
5211,"[49.34985, -123.24153]"
5212,"[49.351276, -123.24414]"
5213,"[49.352572, -123.242679]"
5214,"[49.354237, -123.245775]"
5215,"[49.354226, -123.248666]"
5216,"[49.35278, -123.25095]"
5217,"[49.34136, -123.20274]"
5218,"[49.342342, -123.203429]"
5219,"[49.343256, -123.205458]"
5220,"[49.344086, -123.206384]"
5221,"[49.345283, -123.207076]"
5222,"[49.34558, -123.21024]"
5223,"[49.34562, -123.21395]"
5224,"[49.34564, -123.21663]"
5225,"[49.345848, -123.219099]"
5226,"[49.34683, -123.222898]"
5227,"[49.34686, -123.22672]"
5228,"[49.346802, -123.23028]"
5229,"[49.327092, -123.139101]"
5230,"[49.359874, -123.12356]"
5231,"[49.353602, -123.142227]"
5232,"[49.35995, -123.12364]"
5233,"[49.346851, -123.151814]"
5234,"[49.33495, -123.13477]"
5235,"[49.338308, -123.134534]"
5236,"[49.34108, -123.13564]"
5237,"[49.341176, -123.132114]"
5238,"[49.341689, -123.128627]"
5239,"[49.34613, -123.123095]"
5240,"[49.35107, -123.12041]"
5241,"[49.357157, -123.12099]"
5242,"[49.327125, -123.138308]"
5243,"[49.342862, -123.138921]"
5244,"[49.34447, -123.13605]"
5245,"[49.345218, -123.139214]"
5246,"[49.346176, -123.14189]"
5247,"[49.346232, -123.144455]"
5248,"[49.345298, -123.147176]"
5249,"[49.34757, -123.15247]"
5250,"[49.34927, -123.15089]"
5251,"[49.34955, -123.15443]"
5252,"[49.35039, -123.1537]"
5253,"[49.35264, -123.14938]"
5254,"[49.35438, -123.14549]"
5255,"[49.353827, -123.140342]"
5256,"[49.35315, -123.1386]"
5257,"[49.351141, -123.139586]"
5258,"[49.351839, -123.13334]"
5259,"[49.35005, -123.13396]"
5260,"[49.348371, -123.135418]"
5261,"[49.346976, -123.138326]"
5262,"[49.34627, -123.13371]"
5263,"[49.346524, -123.131402]"
5264,"[49.3495, -123.12972]"
5265,"[49.3528, -123.12857]"
5266,"[49.352463, -123.130398]"
5267,"[49.354792, -123.129769]"
5268,"[49.355235, -123.132466]"
5269,"[49.35758, -123.130186]"
5270,"[49.359038, -123.130266]"
5271,"[49.360913, -123.128474]"
5272,"[49.361998, -123.12859]"
5273,"[49.36293, -123.12651]"
5274,"[49.36399, -123.12422]"
5275,"[49.363036, -123.123154]"
5276,"[49.35377, -123.142536]"
5277,"[49.346194, -123.147999]"
5278,"[49.363335, -123.122854]"
5279,"[49.363417, -123.126131]"
5280,"[49.361843, -123.128738]"
5281,"[49.358244, -123.130436]"
5282,"[49.355619, -123.132189]"
5283,"[49.354424, -123.132895]"
5284,"[49.354856, -123.13043]"
5285,"[49.352408, -123.130573]"
5286,"[49.348866, -123.130126]"
5287,"[49.346594, -123.131799]"
5288,"[49.346966, -123.137884]"
5289,"[49.348089, -123.135607]"
5290,"[49.352154, -123.133699]"
5291,"[49.350225, -123.137845]"
5292,"[49.351835, -123.13938]"
5293,"[49.353447, -123.138032]"
5294,"[49.354272, -123.139352]"
5295,"[49.353987, -123.146411]"
5296,"[49.348313, -123.151171]"
5297,"[49.346846, -123.153313]"
5298,"[49.346081, -123.143949]"
5299,"[49.344408, -123.136219]"
5300,"[49.343326, -123.138538]"
5301,"[49.341062, -123.136538]"
5302,"[49.33855, -123.13509]"
5303,"[49.334507, -123.135564]"
5304,"[49.336407, -123.139317]"
5305,"[49.338146, -123.143517]"
5306,"[49.35775, -123.12141]"
5307,"[49.35608, -123.12073]"
5308,"[49.353278, -123.120319]"
5309,"[49.350875, -123.120627]"
5310,"[49.348049, -123.121627]"
5311,"[49.345591, -123.124069]"
5312,"[49.344462, -123.125756]"
5313,"[49.34331, -123.12696]"
5314,"[49.341524, -123.129562]"
5315,"[49.34108, -123.13392]"
5316,"[49.33391, -123.13508]"
5317,"[49.33036, -123.13511]"
5318,"[49.32791, -123.13528]"
5319,"[49.19515, -123.127086]"
5320,"[49.137611, -122.888058]"
5321,"[49.134179, -122.891112]"
5322,"[49.134093, -122.896353]"
5323,"[49.134027, -122.902166]"
5324,"[49.134008, -122.904787]"
5325,"[49.13398, -122.908939]"
5326,"[49.134605, -122.912566]"
5327,"[49.137488, -122.912576]"
5328,"[49.139727, -122.912562]"
5329,"[49.142712, -122.912539]"
5330,"[49.145673, -122.912499]"
5331,"[49.149118, -122.912455]"
5332,"[49.152514, -122.912383]"
5333,"[49.155377, -122.912299]"
5334,"[49.159962, -122.912298]"
5335,"[49.163758, -122.912301]"
5336,"[49.16649, -122.912283]"
5337,"[49.168992, -122.911834]"
5338,"[49.171482, -122.910336]"
5339,"[49.171758, -122.907235]"
5340,"[49.174117, -122.906735]"
5341,"[49.175679, -122.906736]"
5342,"[49.177061, -122.906153]"
5343,"[49.177067, -122.900739]"
5344,"[49.177076, -122.895038]"
5345,"[49.052483, -122.867458]"
5346,"[49.031826, -122.801091]"
5347,"[49.071909, -122.82248]"
5348,"[49.030086, -122.812297]"
5349,"[49.055547, -122.884378]"
5350,"[49.050021, -122.867456]"
5351,"[49.047325, -122.867469]"
5352,"[49.045389, -122.867489]"
5353,"[49.042238, -122.867517]"
5354,"[49.038275, -122.867604]"
5355,"[49.034479, -122.867594]"
5356,"[49.031225, -122.867012]"
5357,"[49.031209, -122.861605]"
5358,"[49.031182, -122.856071]"
5359,"[49.031173, -122.851497]"
5360,"[49.03112, -122.844717]"
5361,"[49.031115, -122.841373]"
5362,"[49.031108, -122.836896]"
5363,"[49.264028, -122.886789]"
5364,"[49.265996, -122.884262]"
5365,"[49.268703, -122.880871]"
5366,"[49.270228, -122.878905]"
5367,"[49.276527, -122.867099]"
5368,"[49.263602, -123.022741]"
5369,"[49.263861, -123.018495]"
5370,"[49.266311, -123.008093]"
5371,"[49.266244, -123.001054]"
5372,"[49.266047, -122.996995]"
5373,"[49.264975, -122.991151]"
5374,"[49.264648, -122.980394]"
5375,"[49.258523, -122.955208]"
5376,"[49.254139, -122.937052]"
5377,"[49.253798, -122.918197]"
5378,"[49.252106, -122.911572]"
5379,"[49.250977, -122.903692]"
5380,"[49.249751, -122.90012]"
5381,"[49.268146, -122.881927]"
5382,"[49.248476, -122.892999]"
5383,"[49.252509, -122.774619]"
5384,"[49.249861, -122.774853]"
5385,"[49.247777, -122.775408]"
5386,"[49.245655, -122.776388]"
5387,"[49.243091, -122.776146]"
5388,"[49.241431, -122.777194]"
5389,"[49.240424, -122.780704]"
5390,"[49.285113, -122.871147]"
5391,"[49.27041, -122.879877]"
5392,"[49.273116, -122.880481]"
5393,"[49.275283, -122.880602]"
5394,"[49.276612, -122.880678]"
5395,"[49.27915, -122.880836]"
5396,"[49.283167, -122.876893]"
5397,"[49.285268, -122.876287]"
5398,"[49.287802, -122.873455]"
5399,"[49.286765, -122.872151]"
5400,"[49.276768, -122.846702]"
5401,"[49.249412, -122.898833]"
5402,"[49.251474, -122.905112]"
5403,"[49.252623, -122.913354]"
5404,"[49.253225, -122.917557]"
5405,"[49.25443, -122.938606]"
5406,"[49.259409, -122.962965]"
5407,"[49.265095, -122.982085]"
5408,"[49.266542, -123.009457]"
5409,"[49.266207, -123.014956]"
5410,"[49.240697, -122.783681]"
5411,"[49.243161, -122.781793]"
5412,"[49.246698, -122.780551]"
5413,"[49.249193, -122.779568]"
5414,"[49.251693, -122.778133]"
5415,"[49.253355, -122.778707]"
5416,"[49.254698, -122.785777]"
5417,"[49.257511, -122.787959]"
5418,"[49.260258, -122.787956]"
5419,"[49.260801, -122.784366]"
5420,"[49.283358, -122.871398]"
5421,"[49.280889, -122.875083]"
5422,"[49.278403, -122.875582]"
5423,"[49.275792, -122.874737]"
5424,"[49.27494, -122.872484]"
5425,"[49.248429, -123.075675]"
5426,"[49.248518, -123.05614]"
5427,"[49.266676, -123.246012]"
5428,"[49.249918, -123.184491]"
5429,"[49.249267, -123.138678]"
5430,"[49.248866, -123.114707]"
5431,"[49.258259, -123.214903]"
5432,"[49.250536, -123.030547]"
5433,"[49.250584, -123.025808]"
5434,"[49.248779, -123.023042]"
5435,"[49.248286, -123.008625]"
5436,"[49.247462, -123.005459]"
5437,"[49.249192, -123.133894]"
5438,"[49.24912, -123.129382]"
5439,"[49.24909, -123.127001]"
5440,"[49.248988, -123.121932]"
5441,"[49.248918, -123.117941]"
5442,"[49.248817, -123.111706]"
5443,"[49.248819, -123.107042]"
5444,"[49.248736, -123.102742]"
5445,"[49.248697, -123.100559]"
5446,"[49.248638, -123.096185]"
5447,"[49.248609, -123.093688]"
5448,"[49.24856, -123.08963]"
5449,"[49.248521, -123.085285]"
5450,"[49.248473, -123.081441]"
5451,"[49.248429, -123.077724]"
5452,"[49.242099, -123.057651]"
5453,"[49.244157, -123.056503]"
5454,"[49.246583, -123.056509]"
5455,"[49.250547, -123.055999]"
5456,"[49.250568, -123.051755]"
5457,"[49.250567, -123.049111]"
5458,"[49.250546, -123.046615]"
5459,"[49.250553, -123.043474]"
5460,"[49.250535, -123.038654]"
5461,"[49.250529, -123.033251]"
5462,"[49.256014, -123.235156]"
5463,"[49.258318, -123.221642]"
5464,"[49.25819, -123.21185]"
5465,"[49.258107, -123.205776]"
5466,"[49.258017, -123.199757]"
5467,"[49.257986, -123.197494]"
5468,"[49.257917, -123.193063]"
5469,"[49.257833, -123.187544]"
5470,"[49.257067, -123.185245]"
5471,"[49.255265, -123.185267]"
5472,"[49.253446, -123.18526]"
5473,"[49.251683, -123.185301]"
5474,"[49.249908, -123.181384]"
5475,"[49.249892, -123.178128]"
5476,"[49.249884, -123.175269]"
5477,"[49.249874, -123.172537]"
5478,"[49.247954, -123.167306]"
5479,"[49.248553, -123.162016]"
5480,"[49.249823, -123.158799]"
5481,"[49.251222, -123.155203]"
5482,"[49.251448, -123.153365]"
5483,"[49.250503, -123.151127]"
5484,"[49.249462, -123.148494]"
5485,"[49.249352, -123.144254]"
5486,"[49.249302, -123.141103]"
5487,"[49.24547, -123.056785]"
5488,"[49.243673, -123.056787]"
5489,"[49.243784, -123.062011]"
5490,"[49.24854, -123.073107]"
5491,"[49.248594, -123.080402]"
5492,"[49.248642, -123.084376]"
5493,"[49.248724, -123.090591]"
5494,"[49.248752, -123.094411]"
5495,"[49.248783, -123.097125]"
5496,"[49.24886, -123.101513]"
5497,"[49.248922, -123.105388]"
5498,"[49.249023, -123.110516]"
5499,"[49.249205, -123.120844]"
5500,"[49.249302, -123.125107]"
5501,"[49.249375, -123.128078]"
5502,"[49.249452, -123.132497]"
5503,"[49.249523, -123.137046]"
5504,"[49.249651, -123.145097]"
5505,"[49.249695, -123.14792]"
5506,"[49.251211, -123.151677]"
5507,"[49.251747, -123.153742]"
5508,"[49.251149, -123.156163]"
5509,"[49.249723, -123.159848]"
5510,"[49.248545, -123.162863]"
5511,"[49.248213, -123.165826]"
5512,"[49.248641, -123.168633]"
5513,"[49.249627, -123.170432]"
5514,"[49.250163, -123.176132]"
5515,"[49.250183, -123.179077]"
5516,"[49.250188, -123.18222]"
5517,"[49.253177, -123.18504]"
5518,"[49.255004, -123.185016]"
5519,"[49.256755, -123.185003]"
5520,"[49.258091, -123.18653]"
5521,"[49.258162, -123.191535]"
5522,"[49.258254, -123.197604]"
5523,"[49.258337, -123.203675]"
5524,"[49.258432, -123.20978]"
5525,"[49.258508, -123.21457]"
5526,"[49.258662, -123.222569]"
5527,"[49.256287, -123.234956]"
5528,"[49.248582, -123.008822]"
5529,"[49.24887, -123.020198]"
5530,"[49.248882, -123.023166]"
5531,"[49.250709, -123.024281]"
5532,"[49.250701, -123.028964]"
5533,"[49.250668, -123.034271]"
5534,"[49.250669, -123.036911]"
5535,"[49.250689, -123.041997]"
5536,"[49.250692, -123.043612]"
5537,"[49.250739, -123.047585]"
5538,"[49.250756, -123.050472]"
5539,"[49.250747, -123.055069]"
5540,"[49.250268, -123.056774]"
5541,"[49.248689, -123.056046]"
5542,"[49.248608, -123.076586]"
5543,"[49.249126, -123.116019]"
5544,"[49.24956, -123.139586]"
5545,"[49.250494, -123.185062]"
5546,"[49.357975, -123.102922]"
5547,"[49.357988, -123.100098]"
5548,"[49.356435, -123.100144]"
5549,"[49.031098, -122.833664]"
5550,"[49.031088, -122.829886]"
5551,"[49.031081, -122.82787]"
5552,"[49.031077, -122.825371]"
5553,"[49.031064, -122.822838]"
5554,"[49.031065, -122.81897]"
5555,"[49.031057, -122.814487]"
5556,"[49.030746, -122.812296]"
5557,"[49.029213, -122.812294]"
5558,"[49.027542, -122.81162]"
5559,"[49.027529, -122.808312]"
5560,"[49.02751, -122.803367]"
5561,"[49.027923, -122.800982]"
5562,"[49.054948, -122.885203]"
5563,"[49.052522, -122.883058]"
5564,"[49.05306, -122.880364]"
5565,"[49.053873, -122.876784]"
5566,"[49.053895, -122.873773]"
5567,"[49.275504, -122.798559]"
5568,"[49.29127, -122.774651]"
5569,"[49.275064, -122.790343]"
5570,"[49.278889, -122.789795]"
5571,"[49.280329, -122.78721]"
5572,"[49.283619, -122.785595]"
5573,"[49.286178, -122.784341]"
5574,"[49.28772, -122.78314]"
5575,"[49.287452, -122.779415]"
5576,"[49.288287, -122.776518]"
5577,"[49.289113, -122.773202]"
5578,"[49.290405, -122.774225]"
5579,"[49.048392, -122.867241]"
5580,"[49.051695, -122.867263]"
5581,"[49.053159, -122.868165]"
5582,"[49.053889, -122.873094]"
5583,"[49.053934, -122.877081]"
5584,"[49.053555, -122.880091]"
5585,"[49.071947, -122.822248]"
5586,"[49.028057, -122.801309]"
5587,"[49.031241, -122.812805]"
5588,"[49.031228, -122.816025]"
5589,"[49.031233, -122.819743]"
5590,"[49.031264, -122.823859]"
5591,"[49.031254, -122.826342]"
5592,"[49.031256, -122.828676]"
5593,"[49.031264, -122.830685]"
5594,"[49.031292, -122.834728]"
5595,"[49.031279, -122.837338]"
5596,"[49.031285, -122.841621]"
5597,"[49.031297, -122.846102]"
5598,"[49.031317, -122.851244]"
5599,"[49.031337, -122.856976]"
5600,"[49.034945, -122.867401]"
