,Coordinates
263,"[49.263764, -123.208525]"
264,"[49.264263, -123.184623]"
265,"[49.263995, -123.167357]"
266,"[49.263703, -123.152005]"
267,"[49.261889, -123.055558]"
268,"[49.261916, -123.051333]"
269,"[49.261812, -123.043749]"
270,"[49.261781, -123.033192]"
271,"[49.263172, -123.068542]"
272,"[49.267318, -123.246552]"
273,"[49.265243, -123.02541]"
274,"[49.262416, -123.06875]"
275,"[49.263338, -123.115714]"
276,"[49.267664, -123.247309]"
277,"[49.263437, -123.12286]"
278,"[49.263724, -123.139158]"
279,"[49.263936, -123.154352]"
280,"[49.264156, -123.167544]"
281,"[49.26367, -123.186028]"
282,"[49.263905, -123.209694]"
283,"[49.266904, -123.242989]"
284,"[49.262499, -123.078554]"
285,"[49.262593, -123.09009]"
286,"[49.26304, -123.10218]"
287,"[49.225793, -123.002517]"
288,"[49.267243, -123.002961]"
289,"[49.281124, -123.003973]"
290,"[49.281385, -123.025946]"
291,"[49.281212, -123.026407]"
292,"[49.305323, -123.028735]"
293,"[49.280153, -123.004371]"
294,"[49.280273, -123.003233]"
295,"[49.278814, -123.003254]"
296,"[49.277101, -123.003278]"
297,"[49.275222, -123.00331]"
298,"[49.273455, -123.003294]"
299,"[49.271622, -123.003301]"
300,"[49.261663, -123.003448]"
301,"[49.254321, -123.004458]"
302,"[49.251436, -123.004474]"
303,"[49.247981, -123.004458]"
304,"[49.242582, -123.00349]"
305,"[49.2399, -123.003478]"
306,"[49.238368, -123.003466]"
307,"[49.236701, -123.003466]"
308,"[49.233488, -123.003442]"
309,"[49.22957, -123.005731]"
310,"[49.227277, -123.00699]"
311,"[49.281014, -123.029969]"
312,"[49.281027, -123.025048]"
313,"[49.281017, -123.022733]"
314,"[49.28099, -123.018168]"
315,"[49.280965, -123.01577]"
316,"[49.280952, -123.013445]"
317,"[49.280947, -123.008143]"
318,"[49.280926, -123.00517]"
319,"[49.246466, -122.824501]"
320,"[49.243501, -122.821385]"
321,"[49.243668, -122.816692]"
322,"[49.244567, -122.81547]"
323,"[49.24792, -122.815491]"
324,"[49.249319, -122.815518]"
325,"[49.251855, -122.815561]"
326,"[49.25569, -122.814605]"
327,"[49.256416, -122.812244]"
328,"[49.25556, -122.809453]"
329,"[49.25369, -122.806443]"
330,"[49.255943, -122.804616]"
331,"[49.258437, -122.803009]"
332,"[49.261488, -122.800131]"
333,"[49.263839, -122.798109]"
334,"[49.269819, -122.800011]"
335,"[49.271255, -122.801808]"
336,"[49.248513, -122.89266]"
337,"[49.248997, -122.887837]"
338,"[49.248406, -122.885449]"
339,"[49.246842, -122.885431]"
340,"[49.245398, -122.884755]"
341,"[49.245367, -122.881496]"
342,"[49.245322, -122.877181]"
343,"[49.245743, -122.872674]"
344,"[49.247409, -122.870877]"
345,"[49.248667, -122.869403]"
346,"[49.248912, -122.866253]"
347,"[49.248903, -122.861562]"
348,"[49.248888, -122.857585]"
349,"[49.248922, -122.851475]"
350,"[49.248924, -122.849622]"
351,"[49.248912, -122.846057]"
352,"[49.248938, -122.843554]"
353,"[49.248941, -122.840223]"
354,"[49.248976, -122.836313]"
355,"[49.248978, -122.833278]"
356,"[49.248998, -122.828006]"
357,"[49.248564, -122.824481]"
358,"[49.256167, -122.815518]"
359,"[49.259833, -122.81614]"
360,"[49.262619, -122.817572]"
361,"[49.263883, -122.81683]"
362,"[49.266301, -122.813993]"
363,"[49.268529, -122.813649]"
364,"[49.271144, -122.81453]"
365,"[49.272581, -122.8112]"
366,"[49.272599, -122.80591]"
367,"[49.245459, -122.882272]"
368,"[49.24549, -122.88443]"
369,"[49.247481, -122.885318]"
370,"[49.249197, -122.890391]"
371,"[49.272769, -122.804987]"
372,"[49.273036, -122.80915]"
373,"[49.272538, -122.812721]"
374,"[49.270574, -122.81474]"
375,"[49.267855, -122.813893]"
376,"[49.266082, -122.814289]"
377,"[49.263978, -122.816975]"
378,"[49.26142, -122.817531]"
379,"[49.259252, -122.816173]"
380,"[49.255292, -122.815832]"
381,"[49.251232, -122.815825]"
382,"[49.248665, -122.815775]"
383,"[49.247378, -122.815747]"
384,"[49.243755, -122.816892]"
385,"[49.243606, -122.821857]"
386,"[49.245673, -122.82432]"
387,"[49.247723, -122.824344]"
388,"[49.249138, -122.824891]"
389,"[49.24913, -122.828377]"
390,"[49.249116, -122.836062]"
391,"[49.249076, -122.841515]"
392,"[49.249053, -122.844483]"
393,"[49.249052, -122.847067]"
394,"[49.249067, -122.850571]"
395,"[49.249081, -122.85298]"
396,"[49.249037, -122.858501]"
397,"[49.249067, -122.862623]"
398,"[49.249072, -122.865997]"
399,"[49.247733, -122.870755]"
400,"[49.24541, -122.873496]"
401,"[49.245436, -122.87742]"
402,"[49.275476, -122.798722]"
403,"[49.23478, -122.842729]"
404,"[49.237852, -122.843755]"
405,"[49.238538, -122.846404]"
406,"[49.24028, -122.85036]"
407,"[49.240678, -122.852858]"
408,"[49.239561, -122.858388]"
409,"[49.238739, -122.862739]"
410,"[49.238045, -122.865946]"
411,"[49.2362, -122.873716]"
412,"[49.23534, -122.876297]"
413,"[49.233144, -122.882555]"
414,"[49.2615, -122.89034]"
415,"[49.23556, -122.875056]"
416,"[49.237475, -122.86806]"
417,"[49.238227, -122.864276]"
418,"[49.238771, -122.861784]"
419,"[49.239205, -122.859381]"
420,"[49.239824, -122.856887]"
421,"[49.240478, -122.854426]"
422,"[49.240566, -122.851939]"
423,"[49.239676, -122.849021]"
424,"[49.238246, -122.845947]"
425,"[49.237705, -122.843829]"
426,"[49.235511, -122.843079]"
427,"[49.232707, -122.841625]"
428,"[49.231173, -122.836795]"
429,"[49.232684, -122.835451]"
430,"[49.236166, -122.834019]"
431,"[49.237956, -122.834041]"
432,"[49.240512, -122.834106]"
433,"[49.243094, -122.834133]"
434,"[49.2446, -122.834153]"
435,"[49.247124, -122.834152]"
436,"[49.249448, -122.835452]"
437,"[49.251148, -122.835415]"
438,"[49.254023, -122.835338]"
439,"[49.256072, -122.835917]"
440,"[49.256088, -122.83835]"
441,"[49.256116, -122.841436]"
442,"[49.25613, -122.844171]"
443,"[49.25422, -122.852145]"
444,"[49.256567, -122.852096]"
445,"[49.258358, -122.852034]"
446,"[49.260033, -122.851997]"
447,"[49.261892, -122.851978]"
448,"[49.263528, -122.853889]"
449,"[49.263557, -122.85817]"
450,"[49.263585, -122.863597]"
451,"[49.263645, -122.869222]"
452,"[49.263652, -122.874696]"
453,"[49.263666, -122.877786]"
454,"[49.263622, -122.881102]"
455,"[49.26281, -122.888641]"
456,"[49.255871, -122.893156]"
457,"[49.252378, -122.893163]"
458,"[49.250209, -122.893017]"
459,"[49.263416, -122.884979]"
460,"[49.228004, -123.007012]"
461,"[49.229038, -123.005881]"
462,"[49.232392, -123.003237]"
463,"[49.235911, -123.003265]"
464,"[49.237319, -123.003261]"
465,"[49.238854, -123.003285]"
466,"[49.240536, -123.003293]"
467,"[49.243311, -123.003169]"
468,"[49.24763, -123.003889]"
469,"[49.251498, -123.004148]"
470,"[49.254143, -123.004112]"
471,"[49.261653, -123.003136]"
472,"[49.263415, -123.003061]"
473,"[49.265789, -123.002999]"
474,"[49.271387, -123.003116]"
475,"[49.2741, -123.003095]"
476,"[49.275944, -123.003113]"
477,"[49.278616, -123.003061]"
478,"[49.281127, -123.009657]"
479,"[49.281146, -123.014877]"
480,"[49.281178, -123.01911]"
481,"[49.281222, -123.021844]"
482,"[49.281215, -123.028984]"
483,"[49.283253, -123.031278]"
484,"[49.247838, -122.895345]"
485,"[49.274659, -122.799011]"
486,"[49.262009, -123.034312]"
487,"[49.262097, -123.044962]"
488,"[49.262111, -123.051889]"
489,"[49.26234, -123.057336]"
490,"[49.24772, -122.895291]"
491,"[49.261654, -122.889806]"
492,"[49.232855, -122.883136]"
493,"[49.250068, -122.892696]"
494,"[49.253128, -122.89277]"
495,"[49.255306, -122.892801]"
496,"[49.263232, -122.885809]"
497,"[49.263392, -122.883104]"
498,"[49.263526, -122.88058]"
499,"[49.263529, -122.876334]"
500,"[49.263514, -122.873834]"
501,"[49.263455, -122.867656]"
502,"[49.263445, -122.862462]"
503,"[49.263413, -122.857006]"
504,"[49.263032, -122.852129]"
505,"[49.261199, -122.85217]"
506,"[49.25949, -122.85218]"
507,"[49.257311, -122.852233]"
508,"[49.255668, -122.852294]"
509,"[49.266046, -123.023387]"
510,"[49.262218, -123.06899]"
511,"[49.226276, -123.003298]"
512,"[49.267569, -123.003374]"
513,"[49.256009, -122.84411]"
514,"[49.255992, -122.840388]"
515,"[49.255983, -122.83751]"
516,"[49.255771, -122.83546]"
517,"[49.253517, -122.835512]"
518,"[49.250624, -122.835593]"
519,"[49.248046, -122.834364]"
520,"[49.245996, -122.834334]"
521,"[49.244091, -122.83431]"
522,"[49.241223, -122.834281]"
523,"[49.23882, -122.834253]"
524,"[49.235499, -122.834185]"
525,"[49.232574, -122.835743]"
526,"[49.230888, -122.837596]"
527,"[49.232519, -122.841286]"
528,"[49.267585, -122.79891]"
529,"[49.262709, -122.799255]"
530,"[49.261071, -122.800698]"
531,"[49.258307, -122.803291]"
532,"[49.255477, -122.805096]"
533,"[49.25432, -122.80584]"
534,"[49.256125, -122.80949]"
535,"[49.256567, -122.812307]"
536,"[49.249318, -122.846568]"
537,"[49.25169, -122.846463]"
538,"[49.284575, -123.114596]"
539,"[49.251043, -122.846664]"
540,"[49.310752, -123.082751]"
541,"[49.322458, -123.072182]"
542,"[49.335572, -123.071305]"
543,"[49.336607, -123.038743]"
544,"[49.312172, -123.078171]"
